name,tier,color,stackmax,disabled_by_mod,overrides,orig_mod,drop_as_lump,crack,has_dust,has_block,has_nugget,has_rich,is_gemstone,is_lump_gemstone,in_desert,has_brick,has_bar_block,scarcity,num_ores,clust_size,y_min,y_max,has_lump,has_bar,lump_cooking_time,has_pick,has_axe,has_sword,has_shovel,has_spear,has_bow,tool_stick,tool_cotton,has_helmet,has_chestplate,has_leggings,has_boots,has_shield,has_brick
cobalt,5,3F7390D0,,,,,1,4,1,1,,,,,,3,3,15,3,3,-31000,-500,1,1,32,1,1,1,1,1,1,minerdream:steelstick,steel_wire,1,1,1,1,1,
platinum,4,,,,,,1,1,1,1,,,,,,3,3,14,4,3,-31000,-300,1,1,16,1,1,1,1,1,1,,,1,1,1,1,1,
aluminum,4,B2C0C2D0,,aluminum,,,1,1,1,1,,,,,,3,3,14,4,3,-31000,-250,1,1,32,1,1,1,1,1,1,,,1,1,1,1,1,
zinc,2,,,,,,1,1,1,1,,,,,,3,3,14,7,3,-31000,-50,1,1,4,,,,,,1,,,,,,,,
lead,3,,,,technic:mineral_lead,,1,2,1,1,,,,,,3,3,13,7,3,-31000,-70,1,1,4,,,,,1,1,,,,,,,,
silver,3,,,,moreores:mineral_silver,,1,2,1,1,,,,,,3,3,14,3,2,-31000,-64,1,1,8,,,,,1,1,,,,,,,,
potassium,1,,,,,,1,3,1,1,,,,,,3,3,12,7,3,-31000,420,1,1,2,,,,,,1,,,,,,,,
nickel,2,A5AA8CD0,,,,,1,2,1,1,,,,,,3,3,13,7,3,-31000,-40,1,1,4,,,,,1,1,,,,,,,,
flint,1,,,,,default,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,1,1,1,1,1,
tin,2,,,,,technic,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,
gold,3,,,,,default,,,,,,,,,,3,3,,,,,,,,,,,,,1,1,,,,,,,,
copper,2,,,,,default,,,,,,,,,,3,3,,,,,,,,,,,,,,1,,,,,,,,
steel,2,,,,,default,,,,,,,,,,,3,,,,,,,,,,,,,1,1,,,,,,,,
diamond,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
mese,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
stainlesssteel,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,1,1,1,1,
brass,,,,,,,,,,3,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,
sulfur,2,,,,technic:mineral_sulfur,,1,3,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
lapislazuli,2,,200,,,,,3,,3,,,,1,1,3,,,,,,,1,,,,,,,,,,,,,,,,
saltpeter,2,,200,,,,1,3,1,,,,,,1,,,15,5,2,-31000,420,1,,,,,,,,,,,,,,,,
spinel,6,,200,,,,,5,,1,,,,1,,3,,16,1,1,-31000,-1700,,,,,,,,,,,,,,,,,
garnet,5,,200,,,,,4,,1,,,,1,,3,,15,1,1,-31000,-650,,,,,,,,,,,,,,,,,
bituminous_coal,5,,,,,,,4,,,,,,,,,,13,10,3,-31000,-500,1,,,,,,,,,,,,,,,,
jade,5,,200,,,,,4,,1,,,,1,,3,,15,1,1,-31000,-650,,,,,,,,,,,,,,,,,
amethyst,5,,200,,,,,4,,1,,,,1,,3,,15,1,1,-31000,-650,,,,,,,,,,,,,,,,,
onyx,6,,200,,,,,5,,1,,,,1,,3,,16,1,1,-31000,-1700,,,,,,,,,,,,,,,,,
aquamarine,6,,200,,,,,5,,1,,,1,1,,3,,16,1,1,-31000,-1700,,,,,,,,,,,,,,,,,
topaz,6,,200,,,,,5,,1,,,1,1,,3,,15,1,1,-31000,-1700,,,,,,,,,,,,,,,,,
treasure1,,,,,,,,,,,,,,,,,,8,1,1,-200,50,,,,,,,,,,,,,,,,,
treasure2,,,,,,,,,,,,,,,,,,10,1,1,-400,-100,,,,,,,,,,,,,,,,,
treasure3,,,,,,,,,,,,,,,,,,12,1,1,-750,-250,,,,,,,,,,,,,,,,,
treasure4,,,,,,,,,,,,,,,,,,14,1,1,-2000,-500,,,,,,,,,,,,,,,,,
treasure5,,,,,,,,,,,,,,,,,,15,1,1,-2500,-1500,,,,,,,,,,,,,,,,,
